Japan Trip - Osaka,,,,,,,,,
,,,,,,,,,
Flights,,,,,,,,,
Date,Destination,Departure,Arrival,Airline,Flight No.,Departure / Arrival,Actual Cost,Notes,
5 Oct,Kuala Lumpur to Osaka,Kuala Lumpur Intl. (KUL),Osaka Kansai Intl. (KIX),Malaysia Airlines,MH52,22:25 / 05:55+1,RM2500,https://www.oneworld.com/airport-lounge-results?location=KUL,
11 Oct,Osaka to Kuala Lumpur,Osaka Kansai Intl. (KIX),Kuala Lumpur Intl. (KUL),Malaysia Airlines,MH53,09:40 / 15:45,RM2500,https://www.oneworld.com/airport-lounge-results?location=KIX,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,Total,RM5000,,
,,,,,,,,,
Accommodation,,,,,,,,,
Date,City,Accommodation,Check In,Check Out,Duration (Nights),Budget Per Night,Total,Notes,
5 Oct,Osaka,TBD,5 Oct,11 Oct,6,RM417,RM2500,,
,,,,,,,,,
,,,,,Total,,RM2500,,
,,,,,,,,,
Food,,,,,,,,,
Date,City,Duration (Days),Daily Estimate (Two Pax),Total,Notes,,,,
5 Oct - 11 Oct,Osaka,6,RM200,RM1200,,,,,
,,,,,,,,,
,,,Total,RM1200,,,,,
,,,,,,,,,
Transportation,,,,,,,,,
Date,City,Duration (Days),Daily Estimate (Two Pax),Total,Notes,,,,
5 Oct - 11 Oct,Osaka,TBD,RM30,RM250,Suica,,,,
5 Oct - 11 Oct,Kyoto,TBD,RM30,RM250,Suica,,,,
,,,Total,RM500,,,,,
,,,,,,,,,
,,,,,,,,,
Activities & Utilities,,,,,,,,,
Date,Item,Cost (Two Pax),Notes,,,,,,
,Data Roaming,RM100,,,,,,,
,Travel Insurance,RM200,,,,,,,
,TBD,RM0,,,,,,,
,,Total,RM300,,,,,,
,,,,,,,,,
,,,,,,Total,RM9500,,
TLDR,,,,,,,,,
Andrea Budget,RM3700,,,,,,,,
Mummy Budget,RM5400,,,,,,,,
Estimate,,,,,,,,,
Total,RM9500,,,,,,,,
Balance,,,,,,,,,
